Tax Roll,Property Address,Sale Price,"Time-
adjusted Sale Price",Title Transfer Date,Community,Property,Structure,Total Floor Area (sq.ft),Year Built
854148,137 BAYWATER WY SW,"$510,000","$486,300",08/30/2016,Bayside,Single Family,2 Storey,2261,2015
844960,84 BAYWATER CO SW,"$491,500","$468,700",08/29/2016,Bayside,Single Family,Bungalow,1306,2009
820004,121 BAYSIDE PL SW,"$431,000","$411,000",08/11/2016,Bayside,Single Family,2 Storey,1975,2003
846788,1135 2370 BAYSIDE RD SW,"$287,000","$236,200",08/10/2016,Bayside,Apartment,Apartment,1378,2008
846672,2217 BAYSIDE CI SW,"$733,602","$734,500",08/12/2016,Bayside,Single Family,2 Storey,2555,2016
853924,2206 BAYSIDE RD SW,"$429,784","$431,200",09/17/2016,Bayside,Single Family,Bungalow,1383,2015
853920,2198 BAYSIDE RD SW,"$474,883","$472,000",09/15/2016,Bayside,Single Family,2 Storey,1891,2014
855876,204 1530 BAYSIDE AV SW,"$285,714","$260,000",09/14/2016,Bayside,Condo,2 Storey,1264,2015
844858,222 BAYSIDE PT SW,"$300,000","$273,000",09/15/2016,Bayside,Condo,2 Storey,1296,2006
846767,1109 2370 BAYSIDE RD SW,"$206,000","$173,400",09/29/2016,Bayside,Apartment,Apartment,942,2008
854122,123 BAYWATER RI SW,"$495,738","$472,700",09/22/2016,Bayside,Single Family,2 Storey,2087,2015
845092,1865 BAYWATER ST SW,"$420,000","$400,500",09/22/2016,Bayside,Single Family,2 Storey,1647,2009
855891,505 1530 BAYSIDE AV SW,"$300,000","$273,000",09/27/2016,Bayside,Condo,2 Storey,1264,2015
846722,2329 BAYSIDE CI SW,"$745,000","$710,400",09/24/2016,Bayside,Single Family,2 Storey,2556,2011
855896,604 1530 BAYSIDE AV SW,"$337,000","$306,700",09/06/2016,Bayside,Condo,2 Storey,1272,2014
855892,506 1530 BAYSIDE AV SW,"$323,809","$294,700",09/06/2016,Bayside,Condo,2 Storey,1272,2015
853929,2217 BAYSIDE RD SW,"$773,122","$737,200",09/06/2016,Bayside,Single Family,2 Storey,2803,2016
855873,201 1530 BAYSIDE AV SW,"$287,619","$274,800",09/06/2016,Bayside,Condo,2 Storey,1272,2015
854125,135 BAYWATER RI SW,"$525,599","$501,200",09/06/2016,Bayside,Single Family,2 Storey,1979,2015
855877,205 1530 BAYSIDE AV SW,"$285,714","$273,500",09/02/2016,Bayside,Condo,2 Storey,1264,2015
850075,1774 BAYWATER DR SW,"$600,000","$572,200",09/13/2016,Bayside,Single Family,2 Storey,2200,2012
849931,1901 BAYWATER AL SW,"$365,000","$348,100",09/13/2016,Bayside,Duplex,2 Storey,1313,2012
850011,2365 BAYWATER CR SW,"$340,000","$324,200",09/13/2016,Bayside,Duplex,2 Storey,1313,2013
854064,9 BAYWATER LN SW,"$460,341","$439,000",09/13/2016,Bayside,Single Family,2 Storey,1972,2016
844995,1677 BAYWATER RD SW,"$373,000","$359,500",10/13/2016,Bayside,Single Family,2 Storey,1540,2010
854116,99 BAYWATER RI SW,"$512,000","$493,400",10/27/2016,Bayside,Single Family,2 Storey,1963,2015
853916,38 BAYSIDE PR SW,"$456,952","$440,400",10/28/2016,Bayside,Single Family,2 Storey,1883,2015
854139,1735 BAYWATER VW SW,"$456,684","$440,100",10/21/2016,Bayside,Single Family,2 Storey,1929,2014
855878,206 1530 BAYSIDE AV SW,"$359,000","$327,600",10/21/2016,Bayside,Condo,2 Storey,1264,2015
853863,110 BAYSIDE LP SW,"$419,000","$403,800",10/21/2016,Bayside,Single Family,2 Storey,1731,2015
855887,501 1530 BAYSIDE AV SW,"$332,100","$303,000",10/03/2016,Bayside,Condo,2 Storey,1254,2015
849971,2310 BAYWATER CR SW,"$425,000","$409,600",10/07/2016,Bayside,Duplex,2 Storey,1886,2011
857272,1079 BAYSIDE DR SW,"$725,270","$733,900",10/06/2016,Bayside,Single Family,Bungalow,1615,2016
820132,205 BAYSIDE PT SW,"$252,000","$229,900",10/01/2016,Bayside,Condo,2 Storey,1229,2005
853862,109 BAYSIDE LP SW,"$454,285","$432,300",11/18/2016,Bayside,Single Family,2 Storey,1892,2015
854068,17 BAYWATER LN SW,"$504,716","$480,300",11/03/2016,Bayside,Single Family,2 Storey,2432,2016
854195,279 BAYWATER WY SW,"$549,900","$523,300",11/17/2016,Bayside,Single Family,2 Storey,2109,2016
854072,25 BAYWATER LN SW,"$507,444","$482,900",11/04/2016,Bayside,Single Family,2 Storey,2432,2016
840466,959 BAYSIDE DR SW,"$529,000","$503,400",11/04/2016,Bayside,Single Family,Bungalow,1356,2005
854145,1747 BAYWATER VW SW,"$522,169","$496,900",11/01/2016,Bayside,Single Family,2 Storey,2261,2015
854193,275 BAYWATER WY SW,"$539,900","$513,800",11/02/2016,Bayside,Single Family,2 Storey,2002,2016
854169,218 BAYWATER WY SW,"$632,213","$601,700",11/02/2016,Bayside,Single Family,2 Storey,2432,2016
854146,133 BAYWATER WY SW,"$487,000","$463,500",11/02/2016,Bayside,Single Family,2 Storey,2087,2015
820021,309 BAYSIDE PL SW,"$435,000","$414,000",11/16/2016,Bayside,Single Family,2 Storey,1800,2002
855874,202 1530 BAYSIDE AV SW,"$359,000","$328,400",11/08/2016,Bayside,Condo,2 Storey,1264,2015
854062,5 BAYWATER LN SW,"$499,921","$475,800",11/10/2016,Bayside,Single Family,2 Storey,2432,2016
854202,294 BAYWATER WY SW,"$524,000","$498,700",11/25/2016,Bayside,Single Family,2 Storey,2261,2016
853940,2253 BAYSIDE RD SW,"$681,785","$648,900",11/25/2016,Bayside,Single Family,Bungalow,1606,2016
855888,502 1530 BAYSIDE AV SW,"$320,000","$292,800",11/25/2016,Bayside,Condo,2 Storey,1264,2015
845119,117 BAYWATER WY SW,"$459,000","$436,800",11/29/2016,Bayside,Single Family,2 Storey,1979,2011
857215,329 BAYSIDE CR SW,"$734,756","$734,400",11/29/2016,Bayside,Single Family,Bungalow,1574,2016
857259,1027 BAYSIDE DR SW,"$569,534","$542,000",11/21/2016,Bayside,Single Family,2 Storey,2064,2016
854175,234 BAYWATER WY SW,"$556,024","$529,200",11/23/2016,Bayside,Single Family,2 Storey,2432,2016
853907,2 BAYSIDE PR SW,"$443,971","$422,500",11/24/2016,Bayside,Single Family,Bungalow,1405,2016
846664,2201 BAYSIDE CI SW,"$565,742","$538,400",11/23/2016,Bayside,Single Family,2 Storey,2443,2015
840518,235 BAYSIDE LD SW,"$520,000","$494,900",11/23/2016,Bayside,Single Family,2 Storey,2190,2005
849961,1931 BAYWATER AL SW,"$390,000","$373,400",12/06/2016,Bayside,Duplex,2 Storey,1811,2013
820138,217 BAYSIDE PT SW,"$258,500","$237,100",12/06/2016,Bayside,Condo,2 Storey,1229,2005
857252,11 BAYSIDE CV SW,"$550,040","$538,600",12/07/2016,Bayside,Single Family,2 Storey,2384,2016
855879,207 1530 BAYSIDE AV SW,"$359,000","$329,300",12/01/2016,Bayside,Condo,2 Storey,1272,2015
857203,305 BAYSIDE CR SW,"$549,523","$526,100",12/05/2016,Bayside,Single Family,2 Storey,2503,2016
855889,503 1530 BAYSIDE AV SW,"$320,000","$293,500",12/13/2016,Bayside,Condo,2 Storey,1264,2015
857329,501 BAYSIDE RO SW,"$451,207","$432,000",12/16/2016,Bayside,Single Family,2 Storey,2033,2016
854138,1734 BAYWATER VW SW,"$483,000","$481,600",12/20/2016,Bayside,Single Family,2 Storey,2087,2015
845042,1706 BAYWATER ST SW,"$570,000","$551,000",01/18/2017,Bayside,Single Family,2 Storey,2415,2010
855883,304 1530 BAYSIDE AV SW,"$359,000","$330,200",01/18/2017,Bayside,Condo,2 Storey,1264,2015
853955,2282 BAYSIDE RD SW,"$461,277","$445,900",01/18/2017,Bayside,Single Family,2 Storey,2074,2016
854189,267 BAYWATER WY SW,"$539,900","$521,900",01/26/2017,Bayside,Single Family,2 Storey,1921,2016
854143,1743 BAYWATER VW SW,"$452,256","$437,200",01/25/2017,Bayside,Single Family,2 Storey,1731,2015
853956,2285 BAYSIDE RD SW,"$697,100","$707,500",01/25/2017,Bayside,Single Family,Bungalow,1564,2016
857253,15 BAYSIDE CV SW,"$633,686","$612,500",01/25/2017,Bayside,Single Family,2 Storey,2542,2016
846716,2317 BAYSIDE CI SW,"$571,809","$552,700",01/20/2017,Bayside,Single Family,2 Storey,2486,2015
857255,23 BAYSIDE CV SW,"$494,260","$477,800",01/31/2017,Bayside,Single Family,Bungalow,1359,2016
820026,329 BAYSIDE PL SW,"$390,000","$377,000",01/09/2017,Bayside,Single Family,2 Storey,1690,2007
846678,2232 BAYSIDE CI SW,"$522,000","$504,600",01/04/2017,Bayside,Single Family,2 Storey,2490,2012
854153,154 BAYWATER WY SW,"$509,523","$524,800",01/03/2017,Bayside,Single Family,Bungalow,1428,2016
854163,194 BAYWATER WY SW,"$543,463","$551,600",01/06/2017,Bayside,Single Family,2 Storey,2432,2016
854187,263 BAYWATER WY SW,"$499,000","$482,300",01/13/2017,Bayside,Single Family,2 Storey,1725,2016
853908,6 BAYSIDE PR SW,"$497,142","$480,500",01/18/2017,Bayside,Single Family,2 Storey,2155,2016
853838,1334 BAYSIDE DR SW,"$425,000","$410,800",01/11/2017,Bayside,Single Family,2 Storey,1929,2014
846788,1135 2370 BAYSIDE RD SW,"$299,000","$251,700",02/10/2017,Bayside,Apartment,Apartment,1378,2008
855880,301 1530 BAYSIDE AV SW,"$357,800","$330,000",02/14/2017,Bayside,Condo,2 Storey,1272,2015
857333,517 BAYSIDE RO SW,"$480,792","$459,400",02/03/2017,Bayside,Single Family,2 Storey,2203,2016
844970,1813 BAYWATER GD SW,"$392,000","$374,600",02/03/2017,Bayside,Single Family,2 Storey,1601,2009
850031,2394 BAYWATER CR SW,"$390,000","$372,600",02/03/2017,Bayside,Duplex,2 Storey,1510,2013
857217,337 BAYSIDE CR SW,"$745,171","$712,000",02/08/2017,Bayside,Single Family,2 Storey,2670,2016
846774,1116 2370 BAYSIDE RD SW,"$196,000","$167,800",02/08/2017,Bayside,Apartment,Apartment,942,2008
849936,1906 BAYWATER AL SW,"$395,000","$377,400",02/07/2017,Bayside,Duplex,2 Storey,1890,2013
840490,128 BAYSIDE LD SW,"$560,000","$535,100",02/28/2017,Bayside,Single Family,2 Storey,2078,2005
855881,302 1530 BAYSIDE AV SW,"$345,000","$318,200",02/27/2017,Bayside,Condo,2 Storey,1264,2015
853948,2269 BAYSIDE RD SW,"$582,161","$556,300",02/01/2017,Bayside,Single Family,2 Storey,2169,2016
820122,161 BAYSIDE PT SW,"$273,000","$251,800",02/01/2017,Bayside,Condo,2 Storey,1199,2005
846969,4004 2370 BAYSIDE RD SW,"$310,000","$285,900",02/01/2017,Bayside,Condo,2 Storey,1386,2008
845123,125 BAYWATER WY SW,"$427,000","$408,000",03/15/2017,Bayside,Single Family,2 Storey,1932,2010
857268,1063 BAYSIDE DR SW,"$657,096","$659,200",03/14/2017,Bayside,Single Family,2 Storey,2542,2016
850021,2375 BAYWATER CR SW,"$349,500","$333,900",03/24/2017,Bayside,Duplex,2 Storey,1313,2013
854183,255 BAYWATER WY SW,"$539,900","$515,900",03/29/2017,Bayside,Single Family,2 Storey,1951,2016
857271,1075 BAYSIDE DR SW,"$725,711","$729,400",03/01/2017,Bayside,Single Family,Bungalow,1763,2016
845016,194 BAYWATER RI SW,"$451,000","$430,900",03/07/2017,Bayside,Single Family,2 Storey,1847,2007
857209,317 BAYSIDE CR SW,"$734,635","$737,000",03/07/2017,Bayside,Single Family,2 Storey,2772,2016
854191,271 BAYWATER WY SW,"$519,000","$495,900",03/03/2017,Bayside,Single Family,2 Storey,1951,2016
853950,2273 BAYSIDE RD SW,"$704,726","$673,400",03/13/2017,Bayside,Single Family,Bungalow,1685,2016
850052,1729 BAYWATER DR SW,"$432,900","$414,300",04/22/2017,Bayside,Single Family,2 Storey,1731,2014
846164,16 BAYSIDE LI SW,"$586,500","$561,300",04/24/2017,Bayside,Single Family,2 Storey,2336,2012
854060,1 BAYWATER LN SW,"$480,952","$485,100",04/27/2017,Bayside,Single Family,2 Storey,2261,2016
855882,303 1530 BAYSIDE AV SW,"$350,000","$324,500",04/26/2017,Bayside,Condo,2 Storey,1264,2015
846666,2205 BAYSIDE CI SW,"$540,000","$516,800",04/24/2017,Bayside,Single Family,2 Storey,2196,2015
854067,14 BAYWATER LN SW,"$435,000","$416,300",04/25/2017,Bayside,Single Family,2 Storey,1812,2016
855875,203 1530 BAYSIDE AV SW,"$359,000","$332,900",04/07/2017,Bayside,Condo,2 Storey,1264,2015
820025,325 BAYSIDE PL SW,"$409,500","$391,900",04/06/2017,Bayside,Single Family,2 Storey,1812,2003
850049,1722 BAYWATER DR SW,"$405,000","$387,600",04/06/2017,Bayside,Single Family,2 Storey,1650,2012
846726,2337 BAYSIDE CI SW,"$601,904","$604,800",04/18/2017,Bayside,Single Family,2 Storey,2587,2015
853893,210 BAYSIDE LP SW,"$634,182","$606,900",04/18/2017,Bayside,Single Family,2 Storey,2542,2016
853934,2233 BAYSIDE RD SW,"$679,356","$682,700",04/12/2017,Bayside,Single Family,2 Storey,2666,2016
857266,1055 BAYSIDE DR SW,"$764,996","$732,100",04/13/2017,Bayside,Single Family,2 Storey,2689,2016
855903,1603 1530 BAYSIDE AV SW,"$336,000","$312,300",05/23/2017,Bayside,Condo,2 Storey,1264,2014
854182,254 BAYWATER WY SW,"$424,918","$425,500",05/18/2017,Bayside,Single Family,2 Storey,1731,2016
855885,306 1530 BAYSIDE AV SW,"$359,000","$333,700",05/18/2017,Bayside,Condo,2 Storey,1264,2015
845088,1857 BAYWATER ST SW,"$419,000","$401,000",05/18/2017,Bayside,Single Family,2 Storey,1647,2009
855894,602 1530 BAYSIDE AV SW,"$342,000","$317,900",05/25/2017,Bayside,Condo,2 Storey,1264,2014
854176,238 BAYWATER WY SW,"$457,047","$459,300",05/26/2017,Bayside,Single Family,2 Storey,1921,2017
854165,202 BAYWATER WY SW,"$558,405","$534,400",05/26/2017,Bayside,Single Family,2 Storey,2450,2016
853895,214 BAYSIDE LP SW,"$614,726","$614,400",05/09/2017,Bayside,Single Family,2 Storey,2498,2016
840498,208 BAYSIDE LD SW,"$472,000","$451,700",05/09/2017,Bayside,Single Family,2 Storey,2045,2005
854151,146 BAYWATER WY SW,"$468,571","$470,800",05/16/2017,Bayside,Single Family,2 Storey,1972,2015
845082,1834 BAYWATER ST SW,"$650,000","$621,400",06/16/2017,Bayside,Single Family,2 Storey,2515,2010
854066,13 BAYWATER LN SW,"$486,900","$465,500",06/20/2017,Bayside,Single Family,2 Storey,2087,2016
844949,63 BAYWATER CO SW,"$530,000","$506,700",06/14/2017,Bayside,Single Family,2 Storey,2263,2010
854140,1738 BAYWATER VW SW,"$433,999","$414,900",06/15/2017,Bayside,Single Family,2 Storey,1731,2015
844984,1687 BAYWATER PA SW,"$428,000","$409,200",06/26/2017,Bayside,Single Family,2 Storey,1829,2009
855886,307 1530 BAYSIDE AV SW,"$359,000","$334,700",06/21/2017,Bayside,Condo,2 Storey,1272,2015
845831,214 BAYSIDE PT SW,"$342,500","$319,300",06/21/2017,Bayside,Condo,2 Storey,1324,2007
840458,927 BAYSIDE DR SW,"$549,900","$525,700",06/20/2017,Bayside,Single Family,2 Storey,1850,2006
854177,242 BAYWATER WY SW,"$427,987","$431,700",06/26/2017,Bayside,Single Family,2 Storey,1725,2017
