Property Address,Tax Roll,legal_desc,assessed_value_CAD,land_use,classifications,parcel_area (m2),year_built,living_area_above_grade_ft2,bldg_desc,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement
9 ASPEN CR SE,209300,Plan: 7711277 Block/Unit: 18 Lot: 10,348000,R1 Single Detached Residential District,Single Family Dwelling,435,1978,951,Bungalow,Yes,Yes,Yes,No,None,No
68 ALPINE CR SE,308800,Plan: 7710734 Block/Unit: 7 Lot: 37,327000,R1 Single Detached Residential District,Single Family Dwelling,418,1977,1007,Bungalow,Yes,Yes,Yes,No,Yes,No
604 700 ALLEN ST SE,224900,Plan: 8010020 Block/Unit: 36 Lot:,164000,R2-T Townhouse Residential District,Condominium,294,1980,1098,2 Storey,None,None,None,None,None,No
117 ASPEN CR SE,220200,Plan: 7711277 Block/Unit: 18 Lot: 16,389000,R1 Single Detached Residential District,Single Family Dwelling,435,1978,1207,Bi-Level,Yes,Yes,Yes,No,Yes,No
56 ASPEN CR SE,142100,Plan: 7711277 Block/Unit: 7 Lot: 120,202000,R2 Low Density Residential District,Duplex,352,1978,997,2 Storey,Yes,None,Yes,No,None,No
62 ASPEN CR SE,273800,Plan: 7711277 Block/Unit: 7 Lot: 119,219000,R2 Low Density Residential District,Duplex,287,1978,1078,2 Storey,Yes,None,Yes,No,None,No
603 700 ALLEN ST SE,376100,Plan: 8010020 Block/Unit: 35 Lot:,173000,R2-T Townhouse Residential District,Condominium,292,1980,1098,2 Storey,None,None,None,None,None,No
41 ASTER PL SE,312900,Plan: 7710734 Block/Unit: 13 Lot: 10,341000,R1 Single Detached Residential District,Single Family Dwelling,720,1977,1183,Bungalow,Yes,None,Yes,No,Yes,No
511 500 ALLEN ST SE,366200,Plan: 7911038 Block/Unit: 11 Lot:,163000,R2-T Townhouse Residential District,Condominium,287,1979,1065,2 Storey,Yes,None,Yes,No,None,No
132 ASPEN CR SE,302300,Plan: 7711277 Block/Unit: 7 Lot: 101,307000,R1 Single Detached Residential District,Single Family Dwelling,503,1977,951,Bungalow,Yes,Yes,None,None,None,No
420 ALBERT ST SE,241000,Plan: 7710734 Block/Unit: 7 Lot: 61,328000,R1 Single Detached Residential District,Single Family Dwelling,451,1977,1037,Split Level (with crawl),Yes,Yes,Yes,No,Yes,No
4 ALPINE CR SE,216300,Plan: 7710734 Block/Unit: 7 Lot: 21,300000,R1 Single Detached Residential District,Single Family Dwelling,453,1977,924,Bi-Level,Yes,Yes,Yes,No,Yes,No
72 ASPEN CR SE,70700,Plan: 7711277 Block/Unit: 7 Lot: 116,282000,R1 Single Detached Residential District,Single Family Dwelling,427,1977,994,Bungalow,Yes,None,None,None,Yes,No
61 ASHWOOD GR SE,387100,Plan: 7711277 Block/Unit: 16 Lot: 36,294000,R1 Single Detached Residential District,Single Family Dwelling,422,1978,936,Bi-Level,Yes,Yes,None,None,Yes,No
21 ASHWOOD RD SE,317200,Plan: 7711277 Block/Unit: 16 Lot: 50,320000,R1 Single Detached Residential District,Single Family Dwelling,462,1978,1081,Split Level (no crawl),Yes,Yes,Yes,No,None,No
140 ALPINE CR SE,158600,Plan: 7710734 Block/Unit: 7 Lot: 54,338000,R1 Single Detached Residential District,Single Family Dwelling,468,1977,1443,Bi-Level,Yes,Yes,None,None,Yes,No
302 700 ALLEN ST SE,204100,Plan: 8010020 Block/Unit: 14 Lot:,151000,R2-T Townhouse Residential District,Condominium,296,1980,1098,2 Storey,None,None,None,None,None,No
109 ALDER CR SE,408700,Plan: 7710734 Block/Unit: 10 Lot: 19,345000,R1 Single Detached Residential District,Single Family Dwelling,429,1977,951,Bungalow,Yes,Yes,Yes,No,Yes,No
420 ACACIA DR SE,69600,Plan: 7711277 Block/Unit: 7 Lot: 95,311000,R1 Single Detached Residential District,Single Family Dwelling,390,1978,998,Bungalow,Yes,Yes,None,None,None,No
52 ASHWOOD RD SE,390100,Plan: 7711277 Block/Unit: 7 Lot: 71,302000,R1 Single Detached Residential District,Single Family Dwelling,429,1978,926,Bi-Level,Yes,Yes,Yes,No,Yes,No
203 700 ALLEN ST SE,376500,Plan: 8010020 Block/Unit: 9 Lot:,155000,R2-T Townhouse Residential District,Condominium,292,1980,1098,2 Storey,None,None,None,None,None,No
25 ASTER PL SE,135000,Plan: 7710734 Block/Unit: 13 Lot: 6,417000,R1 Single Detached Residential District,Single Family Dwelling,630,1977,1081,Split Level (with crawl),Yes,Yes,Yes,No,Yes,No
9 ASPEN CR SE,209300,Plan: 7711277 Block/Unit: 18 Lot: 10,348000,R1 Single Detached Residential District,Single Family Dwelling,435,1978,951,Bungalow,Yes,Yes,Yes,No,None,No
56 ALPINE CR SE,257800,Plan: 7710734 Block/Unit: 7 Lot: 34,366000,R1 Single Detached Residential District,Single Family Dwelling,907,1977,1207,Bi-Level,Yes,Yes,Yes,No,Yes,No
627 600 ALLEN ST SE,45100,Plan: 8010580 Block/Unit: 27 Lot:,182000,R2-T Townhouse Residential District,Condominium,322,1980,1066,2 Storey,Yes,None,Yes,No,None,No
325 ALBERT ST SE,142500,Plan: 7710734 Block/Unit: 12 Lot: 13,364000,R1 Single Detached Residential District,Single Family Dwelling,738,1977,974,Bungalow,Yes,Yes,None,None,None,No
17 ASTER PL SE,354900,Plan: 7710734 Block/Unit: 13 Lot: 4,315000,R1 Single Detached Residential District,Single Family Dwelling,459,1977,974,Bungalow,Yes,Yes,None,None,Yes,No
504 500 ALLEN ST SE,321200,Plan: 7911038 Block/Unit: 4 Lot:,160000,R2-T Townhouse Residential District,Condominium,287,1979,1066,2 Storey,None,None,Yes,No,None,No
20 ASHWOOD RD SE,189900,Plan: 7711277 Block/Unit: 7 Lot: 63,290000,R1 Single Detached Residential District,Single Family Dwelling,429,1978,922,Bi-Level,Yes,Yes,None,None,Yes,No
29 ASTER PL SE,197400,Plan: 7710734 Block/Unit: 13 Lot: 7,385000,R1 Single Detached Residential District,Single Family Dwelling,643,1977,1078,Bungalow,Yes,Yes,Yes,No,Yes,No
17 ALPINE CR SE,128300,Plan: 7710734 Block/Unit: 11 Lot: 4,300000,R1 Single Detached Residential District,Single Family Dwelling,371,1977,974,Bungalow,Yes,Yes,None,None,Yes,No
803 700 ALLEN ST SE,313000,Plan: 8010020 Block/Unit: 49 Lot:,173000,R2-T Townhouse Residential District,Condominium,309,1980,872,Bungalow,None,None,Yes,No,None,No
413 ALBERT ST SE,288300,Plan: 7710734 Block/Unit: 12 Lot: 17,380000,R1 Single Detached Residential District,Single Family Dwelling,569,1977,1082,Split Level (with crawl),Yes,Yes,Yes,No,None,No
64 ASPEN CR SE,234700,Plan: 7711277 Block/Unit: 7 Lot: 118B,257000,R2 Low Density Residential District,Duplex,267,1978,879,Bi-Level,Yes,Yes,None,None,None,No
609 600 ALLEN ST SE,9800,Plan: 8010580 Block/Unit: 9 Lot:,169000,R2-T Townhouse Residential District,Condominium,322,1980,1066,2 Storey,None,None,Yes,No,None,No
144 ALPINE CR SE,300900,Plan: 7710734 Block/Unit: 7 Lot: 55,295000,R1 Single Detached Residential District,Single Family Dwelling,429,1977,1007,Bungalow,Yes,Yes,Yes,No,None,No
76 ALDER CR SE,303900,Plan: 7710734 Block/Unit: 7 Lot: 149,345000,R1 Single Detached Residential District,Single Family Dwelling,497,1977,1406,2 Storey,Yes,Yes,Yes,No,Yes,No
24 ALDER CR SE,236200,Plan: 7710734 Block/Unit: 7 Lot: 161,269000,R1 Single Detached Residential District,Single Family Dwelling,389,1977,853,Bi-Level,Yes,Yes,Yes,No,None,No
96 ALDER CR SE,208500,Plan: 7710734 Block/Unit: 7 Lot: 144,351000,R1 Single Detached Residential District,Single Family Dwelling,454,1977,1418,2 Storey,Yes,Yes,Yes,No,None,No
112 PINTO LN SE,850688,Meridian: W4 Range: 29 Township: 27 Section: 1 Part Section: NW,834000,RR-2 Rural Residential Two-Acre District ANNEX2,Single Family Dwelling Annex,8094,2002,1980,2 Storey,Yes,Yes,Yes,No,Yes,No
232 APPALOOSA LN SE,850720,Meridian: W4 Range: 29 Township: 27 Section: 1 Part Section: NW,836000,RR-2 Rural Residential Two-Acre District ANNEX2,Single Family Dwelling Annex,8094,2006,3111,2 Storey,None,Yes,Yes,Yes,Yes,No
205 FARRIES DR SE,850754,Meridian: W4 Range: 29 Township: 27 Section: 2 Part Section: NE,746000,RR-2 Rural Residential Two-Acre District ANNEX2,Single Family Dwelling,7972,1999,2157,Bungalow,Yes,Yes,Yes,No,Yes,No
344 MUSTANG LN SE,850701,Meridian: W4 Range: 29 Township: 27 Section: 1 Part Section: NW,884000,RR-4 Rural Residential Four-Acre District ANNEX2,Single Family Dwelling Annex,16187,2004,2773,2 Storey,Yes,Yes,Yes,Yes,Yes,No
207 APPALOOSA LN SE,850710,Plan: 0313300 Block/Unit: 1 Lot: 40,850000,RR-2 Rural Residential Two-Acre District ANNEX2,Single Family Dwelling Annex,8215,2005,2886,2 Storey,Yes,Yes,Yes,No,Yes,No
270169 RGE RD 291 SE,850731,Meridian: W4 Range: 29 Township: 27 Section: 2 Part Section: NE,630000,RR-2 Rural Residential Two-Acre District ANNEX2,Single Family Dwelling Annex,11088,1974,1454,Bungalow,Yes,Yes,Yes,Yes,Yes,No
220 APPALOOSA LN SE,850718,Meridian: W4 Range: 29 Township: 27 Section: 1 Part Section: NW,783000,RR-2 Rural Residential Two-Acre District ANNEX2,Single Family Dwelling Annex,8094,2006,1980,Bi-Level,Yes,Yes,Yes,No,Yes,Yes
107 CROXFORD ET NE,850798,Meridian: W4 Range: 29 Township: 27 Section: 14 Part Section: N,1078000,RR-4 Rural Residential Four-Acre District ANNEX2,Single Family Dwelling Annex,16187,1980,2971,Bungalow,Yes,Yes,None,None,Yes,No
271196 RGE RD 13 NW,850896,Meridian: W5 Range: 1 Township: 27 Section: 10 Part Section: NW,776000,RR-4 Rural Residential Four-Acre District ANNEX2,Single Family Dwelling Annex,13314,1993,2285,2 Storey,Yes,Yes,None,None,Yes,No
139 PINTO LN SE,850678,Meridian: W4 Range: 29 Township: 27 Section: 1 Part Section: NW,1015000,RR-4 Rural Residential Four-Acre District ANNEX2,Single Family Dwelling Annex,16187,2003,2594,2 Storey,Yes,Yes,Yes,No,Yes,Yes
19 DRY CREEK BA SW,850659,Meridian: W5 Range: 1 Township: 26 Section: 34 Part Section: SE,639000,RR-4 Rural Residential Four-Acre District ANNEX2,Single Family Dwelling Annex,16187,1976,1615,Split Level (no crawl),Yes,Yes,Yes,No,Yes,No
228 APPALOOSA LN SE,850719,Meridian: W4 Range: 29 Township: 27 Section: 1 Part Section: NW,699000,RR-2 Rural Residential Two-Acre District ANNEX2,Single Family Dwelling Annex,8094,2004,1980,2 Storey,Yes,Yes,Yes,Yes,Yes,No
32 HAMILTON GR NE,850814,Meridian: W4 Range: 29 Township: 27 Section: 14 Part Section: NW,807000,RR-4 Rural Residential Four-Acre District ANNEX2,Single Family Dwelling Annex,16390,2000,1549,Bungalow,Yes,Yes,Yes,No,Yes,Yes
1342 BAYSIDE DR SW,853842,Plan: 1313368 Block/Unit: 6 Lot: 61,480000,R1 Single Detached Residential District,Single Family Dwelling,445,2014,1377,Bungalow,Yes,Yes,Yes,Yes,Yes,No
254 BAYSIDE PT SW,820086,Plan: 0212881 Block/Unit: 4 Lot: 5,483000,R1 Single Detached Residential District,Single Family Dwelling,427,2003,2144,2 Storey,Yes,Yes,Yes,No,Yes,Yes
6006 2370 BAYSIDE RD SW,846982,Plan: 0911339 Block/Unit: 223 Lot:,283000,R3 Low Rise Multifamily Residential District,Condominium,128,2008,1387,2 Storey,None,Yes,Yes,Yes,Yes,No
1667 BAYWATER ST SW,845023,Plan: 0714427 Block/Unit: 21 Lot: 9,313000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,321,2010,1250,2 Storey,None,None,Yes,Yes,None,No
2209 BAYSIDE CI SW,846668,Plan: 0911011 Block/Unit: 25 Lot: 67,556000,R1 Single Detached Residential District,Single Family Dwelling,563,2015,2182,2 Storey,Yes,Yes,Yes,Yes,Yes,No
138 BAYWATER WY SW,854149,Plan: 1410328 Block/Unit: 16 Lot: 83,405000,R1 Single Detached Residential District,Single Family Dwelling,361,2015,1731,2 Storey,None,Yes,No,Yes,Yes,No
222 BAYSIDE LP SW,853899,Plan: 1313368 Block/Unit: 7 Lot: 31,488000,R1 Single Detached Residential District,Single Family Dwelling,422,2015,2222,2 Storey,Yes,Yes,No,Yes,Yes,No
4012 2370 BAYSIDE RD SW,846973,Plan: 0911339 Block/Unit: 214 Lot:,302000,R3 Low Rise Multifamily Residential District,Condominium,128,2008,1387,2 Storey,Yes,Yes,Yes,Yes,Yes,No
504 1530 BAYSIDE AV SW,855890,Plan: 1511490 Block/Unit: 24 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,105,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
221 BAYSIDE LP SW,853898,Plan: 1313368 Block/Unit: 6 Lot: 44,527000,R1 Single Detached Residential District,Single Family Dwelling,402,2015,2417,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1207 2370 BAYSIDE RD SW,846794,Plan: 0911339 Block/Unit: 35 Lot:,187000,R3 Low Rise Multifamily Residential District,Condominium,93,2008,1000,Apartment,None,None,Yes,No,None,No
1742 BAYWATER VW SW,854142,Plan: 1410328 Block/Unit: 15 Lot: 18,435000,R1 Single Detached Residential District,Single Family Dwelling,372,2015,1972,2 Storey,None,Yes,Yes,Yes,Yes,No
151 BAYWATER RI SW,854129,Plan: 1410328 Block/Unit: 16 Lot: 22,552000,R1 Single Detached Residential District,Single Family Dwelling,732,2015,2432,2 Storey,None,Yes,Yes,Yes,Yes,No
226 BAYSIDE LP SW,853901,Plan: 1313368 Block/Unit: 7 Lot: 32,521000,R1 Single Detached Residential District,Single Family Dwelling,422,2015,2266,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1746 BAYWATER VW SW,854144,Plan: 1410328 Block/Unit: 15 Lot: 19,490000,R1 Single Detached Residential District,Single Family Dwelling,396,2015,2234,2 Storey,None,Yes,Yes,Yes,Yes,No
218 BAYSIDE LP SW,853897,Plan: 1313368 Block/Unit: 7 Lot: 30,542000,R1 Single Detached Residential District,Single Family Dwelling,422,2015,2504,2 Storey,Yes,Yes,Yes,Yes,Yes,No
131 BAYWATER RI SW,854124,Plan: 1410328 Block/Unit: 16 Lot: 27,544000,R1 Single Detached Residential District,Single Family Dwelling,464,2015,2432,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
601 1530 BAYSIDE AV SW,855893,Plan: 1511490 Block/Unit: 27 Lot:,308000,R4 Mid Rise Multifamily Residential District,Condominium,106,2014,1272,2 Storey,Yes,Yes,Yes,No,Yes,No
119 BAYWATER RI SW,854121,Plan: 1410328 Block/Unit: 16 Lot: 30,489000,R1 Single Detached Residential District,Single Family Dwelling,488,2015,1979,2 Storey,None,Yes,Yes,Yes,Yes,Yes
341 BAYSIDE CR SW,857218,Plan: 1610755 Block/Unit: 5 Lot: 89,654000,R1 Single Detached Residential District,Single Family Dwelling,688,2016,1502,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
2413 BAYSIDE CI SW,846746,Plan: 0911011 Block/Unit: 25 Lot: 14,654000,R1 Single Detached Residential District,Single Family Dwelling,668,2012,1545,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
137 BAYWATER WY SW,854148,Plan: 1410328 Block/Unit: 15 Lot: 20,486000,R1 Single Detached Residential District,Single Family Dwelling,400,2015,2261,2 Storey,None,Yes,Yes,Yes,Yes,No
84 BAYWATER CO SW,844960,Plan: 0714427 Block/Unit: 20 Lot: 27,456000,R1 Single Detached Residential District,Single Family Dwelling,390,2009,1306,Bungalow,Yes,Yes,Yes,Yes,Yes,No
121 BAYSIDE PL SW,820004,Plan: 0212881 Block/Unit: 1 Lot: 5,437000,R1 Single Detached Residential District,Single Family Dwelling,625,2003,1975,2 Storey,Yes,Yes,Yes,No,Yes,Yes
1135 2370 BAYSIDE RD SW,846788,Plan: 0911339 Block/Unit: 26 Lot:,241000,R3 Low Rise Multifamily Residential District,Condominium,128,2008,1378,Apartment,None,None,None,None,None,No
2217 BAYSIDE CI SW,846672,Plan: 0911011 Block/Unit: 25 Lot: 65,726000,R1 Single Detached Residential District,Single Family Dwelling,544,2016,2555,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
2206 BAYSIDE RD SW,853924,Plan: 1313368 Block/Unit: 6 Lot: 54,459000,R1 Single Detached Residential District,Single Family Dwelling,403,2015,1383,Bungalow,Yes,Yes,Yes,Yes,Yes,No
2198 BAYSIDE RD SW,853920,Plan: 1313368 Block/Unit: 6 Lot: 56,443000,R1 Single Detached Residential District,Single Family Dwelling,408,2014,1891,2 Storey,Yes,Yes,Yes,Yes,Yes,No
204 1530 BAYSIDE AV SW,855876,Plan: 1511490 Block/Unit: 11 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,144,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
222 BAYSIDE PT SW,844858,Plan: 0714009 Block/Unit: 7 Lot:,271000,DC-08,Condominium,137,2006,1296,2 Storey,Yes,Yes,Yes,Yes,None,Yes
1109 2370 BAYSIDE RD SW,846767,Plan: 0911339 Block/Unit: 5 Lot:,178000,R3 Low Rise Multifamily Residential District,Condominium,87,2008,942,Apartment,None,None,Yes,No,None,No
123 BAYWATER RI SW,854122,Plan: 1410328 Block/Unit: 16 Lot: 29,530000,R1 Single Detached Residential District,Single Family Dwelling,464,2015,2087,2 Storey,None,Yes,Yes,Yes,Yes,Yes
1865 BAYWATER ST SW,845092,Plan: 0714427 Block/Unit: 14 Lot: 9,401000,R1 Single Detached Residential District,Single Family Dwelling,427,2009,1647,2 Storey,Yes,Yes,Yes,No,Yes,No
505 1530 BAYSIDE AV SW,855891,Plan: 1511490 Block/Unit: 25 Lot:,288000,R4 Mid Rise Multifamily Residential District,Condominium,105,2015,1264,2 Storey,None,Yes,Yes,No,Yes,No
2329 BAYSIDE CI SW,846722,Plan: 0911011 Block/Unit: 25 Lot: 37,712000,R1 Single Detached Residential District,Single Family Dwelling,563,2011,2556,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
604 1530 BAYSIDE AV SW,855896,Plan: 1511490 Block/Unit: 30 Lot:,308000,R4 Mid Rise Multifamily Residential District,Condominium,128,2014,1272,2 Storey,Yes,Yes,Yes,No,Yes,No
506 1530 BAYSIDE AV SW,855892,Plan: 1511490 Block/Unit: 26 Lot:,311000,R4 Mid Rise Multifamily Residential District,Condominium,106,2015,1272,2 Storey,Yes,Yes,Yes,No,Yes,No
2217 BAYSIDE RD SW,853929,Plan: 1313368 Block/Unit: 5 Lot: 69,740000,R1 Single Detached Residential District,Single Family Dwelling,774,2016,2803,2 Storey,None,Yes,Yes,Yes,Yes,Yes
201 1530 BAYSIDE AV SW,855873,Plan: 1511490 Block/Unit: 8 Lot:,311000,R4 Mid Rise Multifamily Residential District,Condominium,176,2015,1272,2 Storey,Yes,Yes,Yes,No,Yes,No
135 BAYWATER RI SW,854125,Plan: 1410328 Block/Unit: 16 Lot: 26,484000,R1 Single Detached Residential District,Single Family Dwelling,488,2015,1979,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
205 1530 BAYSIDE AV SW,855877,Plan: 1511490 Block/Unit: 12 Lot:,302000,R4 Mid Rise Multifamily Residential District,Condominium,144,2015,1264,2 Storey,Yes,Yes,Yes,No,Yes,No
1774 BAYWATER DR SW,850075,Plan: 1112436 Block/Unit: 11 Lot: 19,509000,R1 Single Detached Residential District,Single Family Dwelling,363,2012,2200,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
1901 BAYWATER AL SW,849931,Plan: 1112436 Block/Unit: 29 Lot: 18,334000,R2 Low Density Residential District,Duplex,347,2012,1313,2 Storey,Yes,Yes,Yes,Yes,None,No
2365 BAYWATER CR SW,850011,Plan: 1112436 Block/Unit: 29 Lot: 31,319000,R2 Low Density Residential District,Duplex,269,2013,1313,2 Storey,None,Yes,Yes,Yes,Yes,No
9 BAYWATER LN SW,854064,Plan: 1410328 Block/Unit: 12 Lot: 11,428000,R1 Single Detached Residential District,Single Family Dwelling,369,2016,1972,2 Storey,None,Yes,Yes,Yes,Yes,No
1677 BAYWATER RD SW,844995,Plan: 0714427 Block/Unit: 20 Lot: 9,376000,R1-L Narrow Lot Laned Residential District,Single Family Dwelling,344,2010,1540,2 Storey,Yes,Yes,Yes,Yes,None,No
99 BAYWATER RI SW,854116,Plan: 1410328 Block/Unit: 16 Lot: 35,504000,R1 Single Detached Residential District,Single Family Dwelling,488,2015,1963,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
38 BAYSIDE PR SW,853916,Plan: 1313368 Block/Unit: 7 Lot: 24,453000,R1 Single Detached Residential District,Single Family Dwelling,446,2015,1883,2 Storey,None,Yes,Yes,Yes,Yes,No
1735 BAYWATER VW SW,854139,Plan: 1410328 Block/Unit: 13 Lot: 9,417000,R1 Single Detached Residential District,Single Family Dwelling,372,2014,1929,2 Storey,None,Yes,No,Yes,Yes,No
